created_at;;full_text;lang;username
Mon May 13 10:41:03 +0000 2024;;Pembangunan IKN Dan Visi Masa Depan Bangsa Dalam Model Dan Paradigma Komunikasi Pembangunan. Geby PO Bus OBnya SMK Lingga Kencana Depok Pendek Bobon https://t.co/r2WFaIF9gq;in;macetjalanbgt
Mon May 13 10:40:00 +0000 2024;;Mentan Sebut Sulawesi Barat Bakal Jadi Pemasok Bahan Pangan IKN https://t.co/l8ig3tijFm;in;officialinews_
Mon May 13 10:39:56 +0000 2024;;Pesona Gua Tapak Raja Menjadi Unggulan Daya Tarik Wisata Di IKN. SMK Lingga Kencana Depok PO Bus Geby OBnya Bobon Dilan https://t.co/eByyQpEmKK;in;NeysaAlsharaa
Mon May 13 10:39:41 +0000 2024;;Presiden Berkantor Di IKN Juli 2024 Smart Defense System Diterapkan. PO Bus Casemiro OBnya Geby Pendek Garnacho https://t.co/bdqg106UxS;in;macetjalanbgt
Mon May 13 10:37:34 +0000 2024;;Trotoar Untuk Pejalan Kaki Di IKN Dilengkapi Jalur Sepeda Tanaman Hijau Dan Ramah Disabilitas. PO Bus Geby Dilan Senin SMK Lingga Kencana Depok OBnya https://t.co/pkuJTn4Z5J;in;ulmariyahalena
Mon May 13 10:36:48 +0000 2024;;Menembus Terowongan Multi Utilitas IKN Rapi Dan Dilapisi Epoksi. PO Bus Geby OBnya SMK Lingga Kencana Depok Love Wins Pendek https://t.co/lVdKzT6HYq;in;marthahayani
Mon May 13 10:36:43 +0000 2024;;@setanping @detikcom Pemerataan pembangunan itu tugas pemerintah pusat. Solusinya apa? Yaj betul bikin IKN. Wkwkwk;in;alejandcarls
Mon May 13 10:36:42 +0000 2024;;@umarrusli24504 @geloraco Gedung dpr segera selesai di ikn...yg lama di jkt dijual utk jadi mal..;in;nalarto
Mon May 13 10:35:49 +0000 2024;;Presiden Berkantor Di IKN Juli 2024 Smart Defense System Diterapkan. PO Bus Casemiro OBnya Geby Pendek Garnacho https://t.co/gsrZMVHTb7;in;MayaHandayaani
Mon May 13 10:35:07 +0000 2024;;Pembangunan IKN Dan Visi Masa Depan Bangsa Dalam Model Dan Paradigma Komunikasi Pembangunan. Geby PO Bus OBnya SMK Lingga Kencana Depok Pendek Bobon https://t.co/7E6fZJ51VP;in;raffibangkit
Mon May 13 10:34:53 +0000 2024;;@geloraco Ikn jadi kota modern ... Terus kerjakan sampai selesai sesuai amanat uu ikn;in;nalarto
Mon May 13 10:33:54 +0000 2024;;@geloraco IKN dah berada pulau nusa Kambangan saja tapi yang ini khusus kerah putih;in;ekasari_lita
Mon May 13 10:33:51 +0000 2024;;Rame2 ogah pindah ke IKN mau tetap di Jakarta?. Prabowo juga ogah2an pindah IKN mau tetap di Jakarta?. Jadi apa jadinya nanti? https://t.co/mSNKZYb84l;in;Budiady5
Mon May 13 10:10:36 +0000 2024;;@DokterTifa Kalau IKN mangkrak bakal banyak yg terjerat hukum karena banyak menghabiskan duit negara.;in;WIFQANIZER
Mon May 13 10:05:55 +0000 2024;;Rezim mementingkan IKN titik.;in;AchmadShonnyArc
Mon May 13 10:04:15 +0000 2024;;Sapa yg sudi tinggal di IKN;in;AchmadShonnyArc
Mon May 13 10:03:20 +0000 2024;;@DokterTifa Orang-orangan pinterrr seperti @Fahrihamzah dan @Yusrilihza_Mhd serta yg sejenisnya yg cucokkk pindah ke IKN (baca : ai ke en);in;SoelG4y00
Mon May 13 10:00:05 +0000 2024;;@DokterTifa IKN itu bagian proyek cina jalur Suster (silk road belt) https://t.co/kPEKLGF4Lv;in;orangbiasa2024
Mon May 13 09:57:45 +0000 2024;;@gilang_ahm31272 Mukidov El Bansos saja pensiun pulangnya ke Solo karena kalau ke IKN tidak bisa terus cawe-cawe demi dinasti konyol politik;in;Kartika4567
Mon May 13 09:56:49 +0000 2024;;Sabar bu uang negara sedang fokus membangun IKN demi kemajuan bangsa dan negara ini https://t.co/IhetGCyIiR;in;JokoHar67908821
Mon May 13 09:56:30 +0000 2024;;@romoatheist @golkar_id @Gerindra @ridwankamil @RahayuSaraswati @iam_zelt @tjitrosoenarjo1 @zy_zy_its_me @dika_maxelyou @adearmando61 @EL_Mascotte @R_min80 @gtobing2903 @neneng_kafir @bengkeldodo RK mah sdh pny jbtn kurator IKN...sdh sibuk...jakarta berik;in;sumpahlusampah
Mon May 13 09:49:01 +0000 2024;;YaAllah kalo emg jalanku disini permudahlah tp kalo dipindah ke IKN yaudahlah ;in;piakucingselalu
Mon May 13 09:45:43 +0000 2024;;Pembangunan IKN menurut Prabowo Subianto akan tetap melindungi serta menjamin kesejahteraan masyarakat lokal dan masyarakat adat yang berada di IKN.;in;andystwn4
Mon May 13 09:45:43 +0000 2024;;Lindungi Masyarakat Lokal Menanggapi dugaan kurangnya perhatian terhadap masyarakat lokal dalam pembangunan IKN Prabowo Subianto menegaskan komitmennya untuk melindungi kepentingan warga lokal termasuk masyarakat adat.;in;andystwn4
Mon May 13 09:45:38 +0000 2024;;Kepada media asal Timur Tengah ini Prabowo Subianto menegaskan komitmennya untuk melanjutkan proyek IKN yang sudah dimulai di era pemerintahan Presiden Joko Widodo ini.;in;andystwn4
Mon May 13 09:45:36 +0000 2024;;Bukan hanya untuk pengembangan wilayah Kalimantan Timur tempat IKN berada pemindahan ibu kota juga penting untuk keberlangsungan Jakarta.;in;andystwn4
Mon May 13 09:45:36 +0000 2024;;Presiden terpilih Prabowo Subianto kembali menegaskan sikap dan komitmennya untuk mendukung dan melanjutkan pemindahan ibu kota ke Ibu Kota Nusantara (IKN).;in;andystwn4
Mon May 13 09:45:35 +0000 2024;;Wawancara Dengan Media Timur Tengah Prabowo Subianto Tegaskan Komitmen Untuk Lanjutkan Pembangunan IKN https://t.co/I04Ji1ZPMj;in;andystwn4
